Game Date,Season,Matchup,Result,Minutes Played,Points,Rebounds,Assists,Steals,Blocks,FG%,3P%,FT%
2020-12-23,2020-21,WAS @ PHI,L,28,7,4,1,1,0,100.0,100.0,50.0
2020-12-26,2020-21,WAS vs. ORL,L,15,5,3,2,0,0,100.0,100.0,0.0
2020-12-27,2020-21,WAS vs. ORL,L,36,9,9,3,2,0,36.4,20.0,0.0
2020-12-29,2020-21,WAS vs. CHI,L,26,9,4,4,2,1,50.0,60.0,0.0
2020-12-31,2020-21,WAS vs. CHI,L,25,6,4,3,0,0,40.0,0.0,100.0
2021-01-01,2020-21,WAS @ MIN,W,27,11,7,3,3,0,57.1,60.0,0.0
2021-01-03,2020-21,WAS @ BKN,W,16,3,1,1,1,1,25.0,50.0,0.0
2021-01-06,2020-21,WAS @ PHI,L,16,1,0,0,0,1,0.0,0.0,50.0
2021-01-08,2020-21,WAS @ BOS,L,14,0,2,1,0,0,0.0,0.0,0.0
2021-01-09,2020-21,WAS vs. MIA,L,32,20,5,5,2,0,46.7,55.6,100.0
2021-01-11,2020-21,WAS vs. PHX,W,20,6,5,1,0,0,50.0,0.0,0.0
2021-01-31,2020-21,WAS vs. BKN,W,16,2,2,0,0,0,25.0,0.0,0.0
2021-02-02,2020-21,WAS vs. POR,L,23,13,7,3,0,0,83.3,66.7,100.0
2021-02-03,2020-21,WAS @ MIA,W,33,13,4,0,1,0,55.6,60.0,0.0
2021-02-05,2020-21,WAS @ MIA,L,16,4,6,0,1,1,40.0,0.0,0.0
2021-02-07,2020-21,WAS @ CHA,L,15,4,2,2,0,0,40.0,0.0,0.0
2021-02-08,2020-21,WAS @ CHI,W,28,4,10,1,3,0,22.2,0.0,0.0
2021-02-10,2020-21,WAS vs. TOR,L,27,9,7,3,0,0,42.9,33.3,50.0
2021-02-12,2020-21,WAS vs. NYK,L,22,8,6,0,0,0,33.3,20.0,50.0
2021-02-14,2020-21,WAS vs. BOS,W,28,8,10,0,0,0,22.2,20.0,75.0
2021-02-15,2020-21,WAS vs. HOU,W,20,5,3,0,0,0,50.0,33.3,0.0
2021-02-17,2020-21,WAS vs. DEN,W,21,3,7,2,1,0,33.3,33.3,0.0
2021-02-20,2020-21,WAS @ POR,W,11,2,3,0,0,0,100.0,0.0,0.0
2021-02-22,2020-21,WAS @ LAL,W,23,8,9,2,1,0,60.0,66.7,0.0
2021-02-23,2020-21,WAS @ LAC,L,12,0,1,0,0,0,0.0,0.0,0.0
2021-02-25,2020-21,WAS @ DEN,W,20,2,2,1,0,0,100.0,0.0,0.0
2021-02-27,2020-21,WAS vs. MIN,W,21,2,2,0,0,1,16.7,0.0,0.0
2021-02-28,2020-21,WAS @ BOS,L,7,0,1,0,1,0,0.0,0.0,0.0
2021-03-02,2020-21,WAS vs. MEM,L,26,10,7,1,0,0,57.1,50.0,0.0
2021-03-04,2020-21,WAS vs. LAC,W,25,4,7,0,1,1,100.0,0.0,0.0
2021-03-10,2020-21,WAS @ MEM,L,24,13,6,1,1,0,62.5,60.0,0.0
2021-03-12,2020-21,WAS vs. PHI,L,28,4,5,1,0,0,33.3,0.0,0.0
2021-03-13,2020-21,WAS vs. MIL,L,35,9,4,1,1,1,40.0,16.7,0.0
2021-03-15,2020-21,WAS vs. MIL,L,31,11,6,2,0,0,55.6,25.0,0.0
2021-03-17,2020-21,WAS vs. SAC,L,18,6,2,1,0,1,60.0,0.0,0.0
2021-03-18,2020-21,WAS vs. UTA,W,20,2,4,1,0,0,0.0,0.0,100.0
2021-03-21,2020-21,WAS @ BKN,L,11,0,1,0,0,0,0.0,0.0,0.0
2021-03-23,2020-21,WAS @ NYK,L,22,14,4,0,0,0,71.4,50.0,66.7
2021-03-25,2020-21,WAS @ NYK,L,11,0,2,0,0,1,0.0,0.0,0.0
2021-03-27,2020-21,WAS vs. DET,W,27,5,5,2,2,0,33.3,33.3,0.0
2021-03-29,2020-21,WAS vs. IND,W,32,12,8,1,0,0,66.7,66.7,100.0
2021-03-30,2020-21,WAS vs. CHA,L,32,3,8,0,0,1,10.0,14.3,0.0
2021-04-01,2020-21,WAS @ DET,L,34,11,10,1,1,0,40.0,25.0,40.0
2021-04-03,2020-21,WAS vs. DAL,L,39,9,8,1,0,0,36.4,0.0,100.0
