Rank,Games_Career,Games_Team,Date,Team,Home/Away,Opp,Result,Games_Started,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Home/Away_num,Result_type,Score,Team_Score,Opponent_Score,Win_lose_num,Games_Started_num,Games_Started_str
1.0,1.0,1.0,2020-12-23,WAS,Away,PHI,"L, 107-113",*,28:06:00,2.0,2.0,1.0,2.0,2.0,1.0,0.0,0.0,,1.5,1.0,2.0,0.5,0.0,4.0,4.0,1.0,1.0,0.0,1.0,3.0,7.0,6.7,14.0,0,L, 107-113,107,113,0,1,Yes
2.0,2.0,2.0,2020-12-26,WAS,Home,ORL,"L, 120-130",*,14:40,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.25,0.0,1.0,0.0,0.0,3.0,3.0,2.0,0.0,0.0,0.0,4.0,5.0,4.7,-7.0,1,L, 120-130,120,130,0,1,Yes
3.0,3.0,3.0,2020-12-27,WAS,Home,ORL,"L, 113-120",*,36:11:00,4.0,11.0,0.364,1.0,5.0,0.2,3.0,6.0,0.5,0.409,0.0,0.0,,2.0,7.0,9.0,3.0,2.0,0.0,1.0,1.0,9.0,9.1,13.0,1,L, 113-120,113,120,0,1,Yes
4.0,4.0,4.0,2020-12-29,WAS,Home,CHI,"L, 107-115",*,26:19:00,3.0,6.0,0.5,3.0,5.0,0.6,0.0,1.0,0.0,0.75,0.0,0.0,,0.0,4.0,4.0,4.0,2.0,1.0,1.0,5.0,9.0,9.7,-5.0,1,L, 107-115,107,115,0,1,Yes
5.0,5.0,5.0,2020-12-31,WAS,Home,CHI,"L, 130-133",*,24:32:00,2.0,5.0,0.4,0.0,3.0,0.0,2.0,2.0,1.0,0.4,2.0,2.0,1.0,1.0,3.0,4.0,3.0,0.0,0.0,0.0,1.0,6.0,6.6,5.0,1,L, 130-133,130,133,0,1,Yes
6.0,6.0,6.0,2021-01-01,WAS,Away,MIN,"W, 130-109",*,27:14:00,4.0,7.0,0.571,3.0,5.0,0.6,1.0,2.0,0.5,0.786,0.0,0.0,,0.0,7.0,7.0,3.0,3.0,0.0,1.0,3.0,11.0,12.7,32.0,0,W, 130-109,130,109,1,1,Yes
7.0,7.0,7.0,2021-01-03,WAS,Away,BRK,"W, 123-122",*,16:23,1.0,4.0,0.25,1.0,2.0,0.5,0.0,2.0,0.0,0.375,0.0,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.5,-9.0,0,W, 123-122,123,122,1,1,Yes
8.0,8.0,8.0,2021-01-06,WAS,Away,PHI,"L, 136-141",*,15:31,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,-0.6,-9.0,0,L, 136-141,136,141,0,1,Yes
9.0,9.0,9.0,2021-01-08,WAS,Away,BOS,"L, 107-116",*,14:25,0.0,3.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,2.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,-1.6,-21.0,0,L, 107-116,107,116,0,1,Yes
10.0,10.0,10.0,2021-01-09,WAS,Home,MIA,"L, 124-128",*,31:38:00,7.0,15.0,0.467,5.0,9.0,0.556,2.0,6.0,0.333,0.633,1.0,1.0,1.0,0.0,5.0,5.0,5.0,2.0,0.0,0.0,2.0,20.0,18.5,-4.0,1,L, 124-128,124,128,0,1,Yes
11.0,11.0,11.0,2021-01-11,WAS,Home,PHO,"W, 128-107",*,19:48,3.0,6.0,0.5,0.0,0.0,,3.0,6.0,0.5,0.5,0.0,0.0,,1.0,4.0,5.0,1.0,0.0,0.0,2.0,3.0,6.0,2.4,3.0,1,W, 128-107,128,107,1,1,Yes
11.0,,12.0,2021-01-24,WAS,Away,SAS,"L, 101-121",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,0,L, 101-121,101,121,0,0,No
11.0,,13.0,2021-01-26,WAS,Away,HOU,"L, 88-107",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,0,L, 88-107,88,107,0,0,No
11.0,,14.0,2021-01-27,WAS,Away,NOP,"L, 106-124",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,0,L, 106-124,106,124,0,0,No
11.0,,15.0,2021-01-29,WAS,Home,ATL,"L, 100-116",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,1,L, 100-116,100,116,0,0,No
12.0,12.0,16.0,2021-01-31,WAS,Home,BRK,"W, 149-146",*,15:41,1.0,4.0,0.25,0.0,2.0,0.0,1.0,2.0,0.5,0.25,0.0,0.0,,1.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,-0.2,-9.0,1,W, 149-146,149,146,1,1,Yes
13.0,13.0,17.0,2021-02-02,WAS,Home,POR,"L, 121-132",*,23:04,5.0,6.0,0.833,2.0,3.0,0.667,3.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,7.0,3.0,0.0,0.0,0.0,3.0,13.0,15.0,4.0,1,L, 121-132,121,132,0,1,Yes
14.0,14.0,18.0,2021-02-03,WAS,Away,MIA,"W, 103-100",*,32:55:00,5.0,9.0,0.556,3.0,5.0,0.6,2.0,4.0,0.5,0.722,0.0,0.0,,0.0,4.0,4.0,0.0,1.0,0.0,2.0,2.0,13.0,8.1,-9.0,0,W, 103-100,103,100,1,1,Yes
15.0,15.0,19.0,2021-02-05,WAS,Away,MIA,"L, 95-122",*,16:06,2.0,5.0,0.4,0.0,2.0,0.0,2.0,3.0,0.667,0.4,0.0,0.0,,0.0,6.0,6.0,0.0,1.0,1.0,0.0,3.0,4.0,3.6,-11.0,0,L, 95-122,95,122,0,1,Yes
16.0,16.0,20.0,2021-02-07,WAS,Away,CHO,"L, 97-119",*,15:25,2.0,5.0,0.4,0.0,2.0,0.0,2.0,3.0,0.667,0.4,0.0,0.0,,0.0,2.0,2.0,2.0,0.0,0.0,1.0,1.0,4.0,1.9,-22.0,0,L, 97-119,97,119,0,1,Yes
17.0,17.0,21.0,2021-02-08,WAS,Away,CHI,"W, 105-101",,28:27:00,2.0,9.0,0.222,0.0,5.0,0.0,2.0,4.0,0.5,0.222,0.0,2.0,0.0,0.0,10.0,10.0,1.0,3.0,0.0,1.0,4.0,4.0,1.8,15.0,0,W, 105-101,105,101,1,0,No
18.0,18.0,22.0,2021-02-10,WAS,Home,TOR,"L, 115-137",,26:40:00,3.0,7.0,0.429,2.0,6.0,0.333,1.0,1.0,1.0,0.571,1.0,2.0,0.5,1.0,6.0,7.0,3.0,0.0,0.0,2.0,3.0,9.0,6.3,-11.0,1,L, 115-137,115,137,0,0,No
19.0,19.0,23.0,2021-02-12,WAS,Home,NYK,"L, 91-109",,21:30,3.0,9.0,0.333,1.0,5.0,0.2,2.0,4.0,0.5,0.389,1.0,2.0,0.5,2.0,4.0,6.0,0.0,0.0,0.0,2.0,3.0,8.0,1.9,-3.0,1,L, 91-109,91,109,0,0,No
