Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,213,1,25/10/2023,WAS,@,IND,"L, 120-143",*,20:40,4,8,0.5,0,0,,4,8,0.5,0.5,1,2,0.5,2,5,7,5,1,0,2,0,9,10,-15
2,214,2,28/10/2023,WAS,,MEM,"W, 113-106",*,27:26:00,4,8,0.5,2,3,0.667,2,5,0.4,0.625,0,0,,2,4,6,2,2,0,1,2,10,10.2,9
3,215,3,30/10/2023,WAS,,BOS,"L, 107-126",*,22:13,4,10,0.4,1,3,0.333,3,7,0.429,0.45,2,2,1,2,5,7,1,1,0,0,4,11,8.6,-26
4,216,4,01/11/2023,WAS,@,ATL,"L, 121-130",*,23:34,10,16,0.625,2,4,0.5,8,12,0.667,0.688,0,1,0,3,2,5,3,2,1,1,5,22,18.9,3
5,217,5,03/11/2023,WAS,@,MIA,"L, 114-121",*,23:46,6,8,0.75,1,2,0.5,5,6,0.833,0.813,1,2,0.5,0,4,4,3,0,0,2,1,14,11.3,-14
6,218,6,06/11/2023,WAS,@,PHI,"L, 128-146",*,27:34:00,5,8,0.625,2,4,0.5,3,4,0.75,0.75,4,4,1,1,4,5,6,1,0,1,1,16,18.1,-10
7,219,7,08/11/2023,WAS,@,CHO,"W, 132-116",*,27:32:00,3,10,0.3,0,1,0,3,9,0.333,0.3,3,3,1,1,2,3,5,0,1,1,4,9,6.1,-5
8,220,8,10/11/2023,WAS,,CHO,"L, 117-124",*,30:44:00,5,9,0.556,1,4,0.25,4,5,0.8,0.611,0,0,,1,5,6,5,1,1,3,2,11,10.3,9
9,221,9,12/11/2023,WAS,@,BRK,"L, 94-102",*,37:36:00,6,18,0.333,1,8,0.125,5,10,0.5,0.361,1,2,0.5,2,7,9,3,3,0,2,2,14,9.2,-1
10,222,10,13/11/2023,WAS,@,TOR,"L, 107-111",*,29:48:00,4,7,0.571,1,1,1,3,6,0.5,0.643,0,0,,1,7,8,6,0,0,4,2,9,7.9,-2
11,223,11,15/11/2023,WAS,,DAL,"L, 117-130",*,23:59,5,6,0.833,3,4,0.75,2,2,1,1.083,2,2,1,1,2,3,4,3,0,0,4,15,18.3,1
12,224,12,17/11/2023,WAS,,NYK,"L, 99-120",*,31:39:00,7,11,0.636,2,4,0.5,5,7,0.714,0.727,2,2,1,0,4,4,2,1,1,3,4,18,12.8,-6
13,225,13,20/11/2023,WAS,,MIL,"L, 129-142",*,31:27:00,3,5,0.6,0,1,0,3,4,0.75,0.6,1,2,0.5,1,3,4,2,0,1,0,3,7,6.8,-28
14,226,14,22/11/2023,WAS,@,CHO,"L, 114-117",*,28:20:00,5,9,0.556,1,2,0.5,4,7,0.571,0.611,2,2,1,2,3,5,1,0,0,1,0,13,10.7,3
15,227,15,24/11/2023,WAS,@,MIL,"L, 128-131",*,28:24:00,1,6,0.167,0,0,,1,6,0.167,0.167,0,0,,2,3,5,5,0,0,0,3,2,2.8,-2
16,228,16,25/11/2023,WAS,,ATL,"L, 108-136",*,16:49,3,8,0.375,1,4,0.25,2,4,0.5,0.438,2,2,1,1,5,6,2,0,0,3,2,9,4.4,-17
17,229,17,27/11/2023,WAS,@,DET,"W, 126-107",*,25:56:00,6,9,0.667,1,3,0.333,5,6,0.833,0.722,3,3,1,0,6,6,5,0,0,3,3,16,13.2,1
18,230,18,29/11/2023,WAS,@,ORL,"L, 120-139",*,27:39:00,9,12,0.75,1,2,0.5,8,10,0.8,0.792,3,4,0.75,3,1,4,5,2,0,0,1,22,24.3,-9
19,231,19,01/12/2023,WAS,@,ORL,"L, 125-130",*,20:27,2,7,0.286,0,2,0,2,5,0.4,0.286,2,2,1,0,3,3,5,0,0,0,1,6,5.9,-6
20,232,20,06/12/2023,WAS,,PHI,"L, 126-131",*,30:46:00,4,10,0.4,0,4,0,4,6,0.667,0.4,0,0,,0,8,8,8,0,1,2,2,8,8.5,6
21,233,21,08/12/2023,WAS,@,BRK,"L, 97-124",*,27:17:00,6,9,0.667,1,4,0.25,5,5,1,0.722,2,3,0.667,0,7,7,4,1,2,0,1,15,17.6,-6
22,234,22,11/12/2023,WAS,@,PHI,"L, 101-146",*,25:50:00,3,8,0.375,1,3,0.333,2,5,0.4,0.438,2,2,1,2,4,6,3,1,0,3,1,9,6.9,-31
